T,TM,Tm,SLP,H,VV,V,VM,PM2.5,SO2,NO2,PM10,Class,NumClass
21.6,30,15.8,1012.5,64,1.4,2.6,11.1,1.11,4,27,93,Satisfactory,2
18.6,29.5,10.5,1012.4,67,1.3,0,1.2,1.11,4,48,NA,Satisfactory,2
14.6,21.6,9.4,1018.4,72,2.7,9.4,18.3,54,2,56,86,Satisfactory,2
22.6,33,18.1,1013.1,67,2.1,11.3,22.2,59,4,52,79,Satisfactory,2
31.9,40.6,26.7,1002,61,1.9,13.5,20.6,38,2,48,88,Satisfactory,2
30.3,35.8,27.2,997.5,78,1.9,7.6,14.8,43,2,53,101,Satisfactory,2
31.1,34.9,25.9,998.2,76,1.9,6.7,11.1,41,2,34,69,Satisfactory,2
31.8,36,27.5,999.6,71,1.9,11.7,18.3,25,2,64,75,Satisfactory,2
27.3,34.3,25.8,1002.4,92,1.4,4.8,11.1,41,2,43,79,Satisfactory,2
28.4,30.6,25.3,1001.8,88,1.4,3.1,7.6,50,3,43,50,Satisfactory,2
30.2,35.6,25.6,1003.6,68,3.1,14.8,22.2,33,2,60,77,Satisfactory,2
31.7,35.9,27,1003.6,59,2.6,14.4,22.2,30,2,78,90,Satisfactory,2
31.6,36.3,25.9,1002.7,58,2.7,15.4,25.9,30,2,55,67,Satisfactory,2
29.9,34.8,24.3,1005.1,74,1.9,1.3,3.5,48,2,61,81,Satisfactory,2
26.7,30.8,21.5,1008.3,84,1.8,3,14.8,60,2,69,68,Satisfactory,2
33.3,39,25.3,997.7,56,1.9,9.8,16.5,49,4,31,NA,Satisfactory,2
34.1,39.4,29,1001.5,49,3.1,10,18.3,43,3,47,58,Satisfactory,2
28.6,32.2,23.6,1002.5,81,1.9,2,7.6,47,4,27,NA,Satisfactory,2
27.6,34.6,22.2,1010,56,2.3,3.3,11.1,51,4,38,NA,Satisfactory,2
24.4,33.6,21.4,1011,75,1.9,5.4,14.8,11.58333333,4,32,93,Satisfactory,2
27.8,33.2,25,1000.3,85,1.9,7.2,18.3,47,4,32,NA,Satisfactory,2
32.2,36.9,28.6,1002.5,69,1.9,2.2,7.6,57,NA,NA,NA,Satisfactory,2
32.1,36.6,28,1000.8,56,1.9,15.4,25.9,44,2,73,79,Satisfactory,2
31.4,36.5,27.6,1005.5,56,1.9,11.7,25.9,60,4,44,66,Satisfactory,2
