"","Point Forecast","Lo 80","Hi 80","Lo 95","Hi 95"
"2017.499886",69.546014710107,22.1404577073535,149.82786320966,8.59271415434086,207.079270115687
"2017.499914",69.4652580348149,22.0759495588879,149.770761061887,8.54836955807761,207.054225773858
"2017.499943",69.388278465382,22.0137879203041,149.718513863104,8.50554787250564,207.034409476387
"2017.499971",69.3148971468598,21.9538569222513,149.670900656775,8.46417133233387,207.019589126817
"2017.500000",69.2449438893721,21.8960467578091,149.627710384249,8.42416648295853,207.009542487816
"2017.500029",69.1782567310176,21.8402533381806,149.588741454425,8.38546391622846,207.004056802206
"2017.500057",69.1146815243181,21.786377970263,149.553801330749,8.34799802453854,207.002928424389
"2017.500086",69.0540715448183,21.7343270545168,149.522706134991,8.31170677180809,207.005962462374
"2017.500114",68.9962871205375,21.6840118016815,149.495280267271,8.27653148002864,207.012972430551
"2017.500143",68.941195281056,21.6353479670034,149.471356041785,8.24241663017965,207.023779913253
"2017.500171",68.8886694251018,21.5882556007473,149.450773337684,8.20930967641456,207.038214239121
"2017.500200",68.8385890055734,21.5426588138627,149.433379264586,8.17716087251385,207.056112166222
"2017.500228",68.7908392310039,21.4984855577635,149.419027842177,8.14592310968633,207.077317577824
"2017.500257",68.7453107825361,21.4556674172593,149.40757969339,8.1155517648775,207.101681188713
"2017.500285",68.7018995455336,21.4141394157534,149.398901750655,8.08600455881366,207.129060261884
"2017.500314",68.6605063550114,21.3738398318889,149.392866974717,8.05724142307422,207.159318335438
"2017.500342",68.6210367541174,21.3347100268847,149.389354085546,8.02922437554237,207.192324959469
"2017.500371",68.5834007649444,21.2966942818628,149.388247304852,8.00191740363692,207.227955442738
"2017.500399",68.5475126709977,21.2597396445185,149.389436109762,7.97528635477631,207.26609060889
"2017.500428",68.5132908106796,21.2237957845322,149.392814997197,7.94929883356902,207.306616561975
"2017.500456",68.480657381198,21.1888148571672,149.398283258538,7.92392410526497,207.349424461029
"2017.500485",68.4495382523328,21.1547513745354,149.405744764134,7.89913300503831,207.39441030345
"2017.500513",68.4198627895355,21.1215620840524,149.415107757274,7.87489785270575,207.44147471692
"2017.500542",68.3915636858624,21.0892058536363,149.426284657217,7.85119237251452,207.4905227596
"2017.500570",68.3645768022735,21.0576435632332,149.439191870908,7.82799161766206,207.541463728345
"2017.500599",68.3388410158567,21.0268380022875,149.453749613011,7.80527189923486,207.594210974681
"2017.500627",68.3142980755604,20.9967537727943,149.469881733921,7.78301071927726,207.648681728268
"2017.500656",68.2908924650421,20.9673571976005,149.487515555394,7.76118670772234,207.704796927616
"2017.500684",68.268571272265,20.9386162336428,149.5065817135,7.73977956293648,207.762481057783
"2017.500713",68.2472840654909,20.9105003898301,149.527014008561,7.71876999564758,207.821661994811
"2017.500742",68.2269827753418,20.8829806492996,149.548749261782,7.69813967604291,207.882270856662
"2017.500770",68.2076215826184,20.8560293957906,149.571727178298,7.67787118383822,207.944241860405
"2017.500799",68.1891568115803,20.8296203439012,149.595890216335,7.65794796113367,208.007512185431
"2017.500827",68.1715468284126,20.803728473002,149.621183462247,7.63835426788473,208.072021842456
"2017.500856",68.1547519446132,20.778329964602,149.647554511145,7.61907513982847,208.137713548102
"2017.500884",68.138734325054,20.7534021429697,149.674953352902,7.60009634871636,208.204532604835
"2017.500913",68.1234579004808,20.7289234188274,149.703332263274,7.58140436471497,208.272426786045
"2017.500941",68.1088882842288,20.7048732359479,149.732645699926,7.56298632084523,208.341346226072
"2017.500970",68.0949926929439,20.6812320204919,149.762850203143,7.54482997933944,208.411243314983
"2017.500998",68.0817398711089,20.6579811329357,149.793904301019,7.52692369980354,208.4820725979
"2017.501027",68.0691000191873,20.6351028224479,149.825768418926,7.50925640907908,208.553790678699
"2017.501055",68.0570447252051,20.6125801835817,149.858404793073,7.49181757270667,208.626356127907
"2017.501084",68.0455468996004,20.5903971151564,149.891777387977,7.47459716789856,208.699729394613
